=== Nearest Neighbor — Sequential Scan ===
id=16251, x=136.580000, y=70.870000 for query 191
id=50041, x=194.780000, y=1.580000 for query 192
id=103642, x=173.170000, y=88.970000 for query 193
id=12391, x=53.530000, y=97.250000 for query 194
id=61705, x=7.150000, y=26.290000 for query 195
id=92060, x=39.200000, y=71.420000 for query 196
id=92967, x=94.610000, y=5.600000 for query 197
id=120976, x=182.990000, y=107.680000 for query 198
id=41060, x=126.250000, y=178.120000 for query 199
id=57817, x=42.990000, y=63.280000 for query 200

Total processing time for 200 queries: 6.280074 seconds
Average time per query: 0.031400 seconds
